"Academy of American Studies","Long Island City","NY","academy-of-american-studies-long-island-city-ny","1"
"Academy of Art Careers and Technology","Reno","NV","academy-of-art-careers-and-technology-reno-nv","1"
"Academy of Arts and Academics","Springfield","OR","academy-of-arts-and-academics-springfield-or","1"
"Academy of Building Industries","Fort Mohave","AZ","academy-of-building-industries-fort-mohave-az","1"
"Academy of Career Education Charter School","Reno","NV","academy-of-career-education-charter-school-reno-nv","1"
"Academy of Careers and Exploration","Helendale","CA","academy-of-careers-and-exploration-helendale-ca","1"
"Academy of Charter Schools","Westminster","CO","academy-of-charter-schools-westminster-co","1"
"Academy of Choice","Houston","TX","academy-of-choice-houston-tx","1"
"Academy of Citizenship and Empowerment","Seatac","WA","academy-of-citizenship-and-empowerment-seatac-wa","1"
"Academy of Coastal Carolina","Shallotte","NC","academy-of-coastal-carolina-shallotte-nc","1"
"Academy of Const and Engineering","Marysville","WA","academy-of-const-and-engineering-marysville-wa","1"
"Academy of Environmental Science","Crystal River","FL","academy-of-environmental-science-crystal-river-fl","1"
"Academy of Excellence","Statesville","NC","academy-of-excellence-statesville-nc","1"
"Academy of Finance and Enterprise","Long Island City","NY","academy-of-finance-and-enterprise-long-island-city-ny","1"
"Academy of Health Sciences at Pgcc","Largo","MD","academy-of-health-sciences-at-pgcc-largo-md","1"
"Academy of Hope","Clayton","NC","academy-of-hope-clayton-nc","1"
"Academy of Hospitality and Tourism","Brooklyn","NY","academy-of-hospitality-and-tourism-brooklyn-ny","1"
"Academy of Innovative Technology","Brooklyn","NY","academy-of-innovative-technology-brooklyn-ny","1"
"Academy of International Studies (at Woodburn)","Woodburn","OR","academy-of-international-studies-at-woodburn-woodburn-or","1"
"Academy of Math and Science","Tucson","AZ","academy-of-math-and-science-tucson-az","1"
"Academy of Medical Arts at Carson High","Carson","CA","academy-of-medical-arts-at-carson-high-carson-ca","1"
"Academy of Mt St Ursula","Bronx","NY","academy-of-mt-st-ursula-bronx-ny","1"
"Academy of Our Lady","Marrero","LA","academy-of-our-lady-marrero-la","1"
"Academy of Our Lady of Mercy - Lauralton Hall","Milford","CT","academy-of-our-lady-of-mercy-lauralton-hall-milford-ct","1"
"Academy of Our Lady of Peace","San Diego","CA","academy-of-our-lady-of-peace-san-diego-ca","1"
"Academy of Personalized Learning","Redding","CA","academy-of-personalized-learning-redding-ca","1"
"Academy of Richmond County High School","Augusta","GA","academy-of-richmond-county-high-school-augusta-ga","1"
"Academy of Saint Elizabeth","Convent Station","NJ","academy-of-saint-elizabeth-convent-station-nj","1"
"Academy of Saint Louis","Chesterfield","MO","academy-of-saint-louis-chesterfield-mo","1"
"Academy of Saut Ul Furqau","Teauech","NJ","academy-of-saut-ul-furqau-teauech-nj","1"
"Academy of Science and Innovation","New Britain","CT","academy-of-science-and-innovation-new-britain-ct","1"
"Academy of Technology Design","Jersey City","NJ","academy-of-technology-design-jersey-city-nj","1"
"Academy of the Americas High School","Detroit","MI","academy-of-the-americas-high-school-detroit-mi","1"
"Academy of the Canyons","Santa Clarita","CA","academy-of-the-canyons-santa-clarita-ca","1"
"Academy of the Holy Angels","Demarest","NJ","academy-of-the-holy-angels-demarest-nj","1"
"Academy of the Holy Cross","Kensington","MD","academy-of-the-holy-cross-kensington-md","1"
"Academy of the Holy Family","Baltic","CT","academy-of-the-holy-family-baltic-ct","1"
"Academy of the Holy Names","Tampa","FL","academy-of-the-holy-names-tampa-fl","1"
"Academy of the Holy Names","Albany","NY","academy-of-the-holy-names-albany-ny","1"
"Academy of the New Church Boys School","Bryn Athyn","PA","academy-of-the-new-church-boys-school-bryn-athyn-pa","1"
"Academy of the Pacific Rim Charter Public School","Hyde Park","MA","academy-of-the-pacific-rim-charter-public-school-hyde-park-ma","1"
"Academy of the Redwoods","Eureka","CA","academy-of-the-redwoods-eureka-ca","1"
"Academy of the Sacred Heart","Bloomfield Hills","MI","academy-of-the-sacred-heart-bloomfield-hills-mi","1"
"Academy of Trades and Tech","Albuquerque","NM","academy-of-trades-and-tech-albuquerque-nm","1"
"Academy of Tucson High School","Tucson","AZ","academy-of-tucson-high-school-tucson-az","1"
"Academy of Urban Learning","Denver","CO","academy-of-urban-learning-denver-co","1"
"Academy of Urban Planning and Engineering","Brooklyn","NY","academy-of-urban-planning-and-engineering-brooklyn-ny","1"
"Academy Online","Colorado Springs","CO","academy-online-colorado-springs-co","1"
"Academy Park Hs","Sharon Hill","PA","academy-park-hs-sharon-hill-pa","1"
"Academy Schools","Tukwila","WA","academy-schools-tukwila-wa","1"
"Academy West Alternative Education","Flint","MI","academy-west-alternative-education-flint-mi","1"
"Academy With Community Partners","Mesa","AZ","academy-with-community-partners-mesa-az","1"
"Academy-Notre Dame De Namur","Villanova","PA","academy-notre-dame-de-namur-villanova-pa","1"
"Acadey of Medical Technology - a College Board School","Far Rockaway","NY","acadey-of-medical-technology-a-college-board-school-far-rockaway-ny","1"
"Acadia Montana","Butte","MT","acadia-montana-butte-mt","1"
"Acadiana High School","Lafayette","LA","acadiana-high-school-lafayette-la","1"
"Acalanes Center for Independent Study","Walnut Creek","CA","acalanes-center-for-independent-study-walnut-creek-ca","1"
"Acalanes High","Lafayette","CA","acalanes-high-lafayette-ca","1"
"Acce","Ypsilanti","MI","acce-ypsilanti-mi","1"
"Accel","Phoenix","AZ","accel-phoenix-az","1"
"Accelerated Achievement Academy","Ukiah","CA","accelerated-achievement-academy-ukiah-ca","1"
"Accelerated Charter High","Tulare","CA","accelerated-charter-high-tulare-ca","1"
"Accelerated Learning Academy","Flint","MI","accelerated-learning-academy-flint-mi","1"
"Accelerated Learning Center","Phoenix","AZ","accelerated-learning-center-phoenix-az","1"
"Accelerated Learning Center","Corpus Christi","TX","accelerated-learning-center-corpus-christi-tx","1"
"Accelerated Learning Laboratory","Tucson","AZ","accelerated-learning-laboratory-tucson-az","1"
"Accelerated Schools","Denver","CO","accelerated-schools-denver-co","1"
"Acceleration Academy","Lake Worth","FL","acceleration-academy-lake-worth-fl","1"
"Acceleration Academy","Port St Lucie","FL","acceleration-academy-port-st-lucie-fl","1"
"Acceleration Academy","Spanaway","WA","acceleration-academy-spanaway-wa","1"
"Acceleration Day and Evening Academy","Mobile","AL","acceleration-day-and-evening-academy-mobile-al","1"
"Acceleration East","Orlando","FL","acceleration-east-orlando-fl","1"
"Acceleration West","Orlando","FL","acceleration-west-orlando-fl","1"
"Access Charter","Orlando","FL","access-charter-orlando-fl","1"
"Access County Community","Costa Mesa","CA","access-county-community-costa-mesa-ca","1"
"Access Juvenile Hall","Santa Ana","CA","access-juvenile-hall-santa-ana-ca","1"
